matchid,time,playerid,type
match_1059702,42,152760,goal
match_1059702,28,97032,goal
match_1059702,19,118748,goal
match_1059702,7,83428,goal
match_1059702,64,57127,goal
match_1059702,65,195546,yellowcard
match_1059702,60,87396,yellowcard
match_1059703,62,223911,goal
match_1059703,88,18867,goal
match_1059703,64,90105,yellowcard
match_1059703,43,54469,yellowcard
match_1059703,78,47247,yellowcard
match_1059704,75,60586,goal
match_1059704,70,44699,goal
match_1059704,63,44699,goal
match_1059704,16,44699,goal
match_1059705,55,66975,yellowcard
match_1059705,38,141020,yellowcard
match_1059705,76,42774,secondyellow
match_1059705,54,42774,yellowcard
match_1059705,52,100649,yellowcard
match_1059706,51,90585,goal
match_1059706,60,171317,yellowcard
match_1059706,31,114128,yellowcard
match_1059707,90,78830,goal
match_1059707,86,78830,goal
match_1059707,73,231372,goal
match_1059707,9,122806,goal
match_1059707,87,62974,yellowcard
match_1059708,77,115382,goal
match_1059708,65,93284,goal
match_1059708,28,121599,goal
match_1059708,88,83299,yellowcard
match_1059709,90 +1,103955,goal
match_1059709,86,37572,goal
match_1059709,75,103955,goal
match_1059709,54,205651,goal
match_1059709,51,103955,goal
match_1059709,25,205651,goal
match_1059709,62,101537,yellowcard
match_1059709,61,166640,yellowcard
match_1059709,90 +3,103955,yellowcard
match_1059709,87,58621,yellowcard
match_1059710,81,200617,goal
match_1059710,67,176297,goal
match_1059710,65,148225,goal
match_1059710,34,176297,goal
match_1059710,18,176297,goal
match_1059710,80,148225,yellowcard
match_1059710,69,184667,yellowcard
match_1059710,48,109322,yellowcard
match_1059710,90,116594,yellowcard
match_1059710,57,173879,yellowcard
match_1059710,52,85955,yellowcard
match_1059710,36,103192,yellowcard
match_1059711,58,54694,goal
match_1059711,18,179018,yellowcard
match_1059711,81,84450,yellowcard
match_1059711,37,57249,yellowcard
match_1059711,25,200641,yellowcard
match_1059712,64,54694,goal
match_1059712,45,38411,goal
match_1059712,13,59966,goal
match_1059712,43,44699,goal
match_1059712,90 +1,41270,yellowcard
match_1059712,38,54694,yellowcard
match_1059712,90 +5,44699,yellowcard
match_1059713,71,230046,goal
match_1059713,12,153682,goal
match_1059713,2,78007,goal
match_1059713,59,126184,yellowcard
match_1059713,36,168991,yellowcard
