matchid,date,home_idteam,away_idteam,duration,period,championship,home_formation,away_formation,quotation_home,quotation_away,quotation_draw,home_score,away_score
match_1059702,2019-08-09T19:00:00Z,14,45,93,FullTime,2.0,433,4231,1.12,18.0,9.0,4,1
match_1059703,2019-08-10T14:00:00Z,91,49,95,FullTime,2.0,3421,352,1.95,3.9,3.55,1,1
match_1059704,2019-08-10T14:00:00Z,90,20,94,FullTime,2.0,442,3421,2.65,2.75,3.15,3,0
match_1059705,2019-08-10T14:00:00Z,31,11,95,FullTime,2.0,442,4231,3.2,2.35,3.2,0,0
match_1059706,2019-08-11T13:00:00Z,13,39,95,FullTime,2.0,4141,352,2.15,3.5,3.25,0,0
match_1059707,2019-08-10T16:30:00Z,6,7,94,FullTime,2.0,4312,4141,1.3,10.0,5.8,3,1
match_1059708,2019-08-10T14:00:00Z,57,36,95,FullTime,2.0,4222,541,2.0,3.9,3.3,0,3
match_1059709,2019-08-10T11:30:00Z,21,43,96,FullTime,2.0,4231,433,12.0,1.22,6.5,0,5
match_1059710,2019-08-11T15:30:00Z,1,8,95,FullTime,2.0,4231,4231,2.2,3.6,3.3,4,0
match_1059711,2019-08-11T13:00:00Z,4,3,95,FullTime,2.0,352,4231,4.1,1.9,3.7,0,1
match_1059712,2019-08-17T11:30:00Z,3,90,96,FullTime,2.0,4231,442,1.31,9.5,5.5,2,1
match_1059713,2019-08-17T14:00:00Z,7,91,96,FullTime,2.0,433,4411,2.25,3.2,3.5,1,2
match_1059714,2019-08-17T14:00:00Z,36,21,95,FullTime,2.0,343,4141,2.45,2.9,3.3,1,1
match_1059715,2019-08-18T15:30:00Z,8,13,95,FullTime,2.0,4231,4141,1.71,5.0,3.8,1,1
match_1059716,2019-08-17T14:00:00Z,11,57,96,FullTime,2.0,4231,4222,1.7,4.8,3.9,1,0
match_1059717,2019-08-17T16:30:00Z,43,6,97,FullTime,2.0,433,4231,1.4,8.5,5.2,2,2
match_1059718,2019-08-17T14:00:00Z,45,4,95,FullTime,2.0,4231,352,2.12,3.55,3.4,3,1
match_1059719,2019-08-18T13:00:00Z,49,31,97,FullTime,2.0,352,442,2.6,2.85,3.1,1,0
match_1059720,2019-08-17T14:00:00Z,20,14,95,FullTime,2.0,352,433,6.75,1.45,4.75,1,2
match_1059721,2019-08-19T19:00:00Z,39,1,95,FullTime,2.0,352,4231,3.25,2.38,3.3,1,1
match_1059722,2019-08-25T13:00:00Z,91,43,95,FullTime,2.0,541,433,15.0,1.18,7.5,1,3
match_1059723,2019-08-23T19:00:00Z,7,11,97,FullTime,2.0,4141,4231,3.1,2.25,3.5,2,0
match_1059724,2019-08-24T14:00:00Z,36,20,96,FullTime,2.0,343,4222,2.35,3.05,3.2,0,2
match_1059725,2019-08-24T16:30:00Z,14,3,95,FullTime,2.0,433,4312,1.51,6.0,4.85,3,1
match_1059726,2019-08-24T14:00:00Z,1,31,96,FullTime,2.0,4231,451,1.35,9.5,5.0,1,2
