playerid,lastname
15157,Milner
41733,Wijnaldum
56979,Henderson
60706,Adrián
60914,Matip
68312,Shaqiri
81880,Oxlade-Chamberlain
92217,Roberto Firmino
97032,van Dijk
110979,Mané
116535,Alisson
116643,Fabinho
118748,Mohamed Salah
122798,Robertson
152760,Origi
169187,Alexander-Arnold
171287,Gomez
175592,Keita
20480,Krul
28082,Fährmann
37614,Vrancic
57127,Pukki
71738,Stiepermann
78607,Kenny McLean
81048,Drmic
83428,Hanley
87396,Leitner
89470,Hernández
90440,Trybull
113564,Byram
124165,Roberts
193111,Cantwell
194799,Lewis
195546,Buendía
198826,Godfrey
232980,Max Aarons
15237,Surman
18726,Boruc
41320,Daniels
54469,Smith
56917,Steve Cook
75115,Callum Wilson
78007,King
90105,Fraser
103912,Ibe
126184,Aké
152551,Lerma
153682,Harry Wilson
154566,Solanke
168991,Billing
171129,Rico
222434,Simpson
223911,Mepham
225321,Ramsdale
7645,Jagielka
18867,Sharp
27436,McGoldrick
40386,Basham
47247,Fleck
49083,Freeman
63426,Stevens
74854,Moore
79934,Norwood
82691,Baldock
87447,Besic
108416,Egan
146610,O'Connell
153723,Lundstram
167878,Osborn
169432,McBurnie
171975,Robinson
172649,Henderson
15749,Hart
17349,Lennon
17761,Tarkowski
17997,Bardsley
39487,Pieters
40145,Cork
41674,Long
44683,Rodriguez
44699,Barnes
51927,Mee
60551,Westwood
60586,Johann Gudmundsson
60689,Wood
68983,Lowton
83312,Gibson
83314,Hendrick
98747,Pope
433154,McNeil
40146,Bertrand
58376,McCarthy
58822,Cédric Soares
78056,Oriol Romeu
80447,Yoshida
83283,Redmond
84939,Danny Ings
88900,Stephens
93100,Vestergaard
101178,Ward-Prowse
107265,Gunn
128198,Boufal
132015,Højbjerg
171771,Bednarek
200439,Adams
213482,Valery
220598,Obafemi
431131,Djenepo
19188,Dann
19419,Cahill
20066,Hennessey
40836,Guaita
50471,McArthur
50472,McCarthy
54861,Benteke
55037,Kouyaté
55494,Ward
58786,Kelly
59125,Wickham
60252,Townsend
66975,Milivojevic
74230,van Aanholt
80146,Ayew
82403,Zaha
141020,Meyer
175946,Camarasa
20467,Walcott
42774,Schneiderlin
55422,Sigurdsson
57513,Lössl
59949,Coleman
66838,Tosun
100649,Bernard
101188,Digne
106611,Keane
111234,Pickford
120250,André Gomes
160987,Gbamin
164511,Mina
173807,Davies
177815,Calvert-Lewin
194164,Holgate
212319,Richarlison
242058,Kean
15033,Morgan
17745,Schmeichel
37642,Evans
51938,Albrighton
95463,Ward
101668,Vardy
106837,Praet
111931,Ricardo Pereira
166989,Tielemans
168580,Ayoze Pérez
172780,Maddison
172850,Chilwell
173515,Iheanacho
197469,Choudhury
201666,Barnes
203341,Wilfred Ndidi
218031,Söyüncü
220627,Justin
19236,Ruddy
19624,João Moutinho
38533,Rui Patrício
41727,Bennett
87835,Doherty
90585,Boly
94147,Coady
102057,Jiménez
107613,Saïss
114128,Jonny
151589,Dendoncker
159533,Traoré
171317,Rúben Neves
194634,Diogo Jota
209353,Cutrone
216054,Rúben Vinagre
222531,Gibbs-White
247632,Pedro Neto
37915,Lloris
38290,Rose
45268,Sissoko
54756,Wanyama
55605,Alderweireld
62974,Lamela
78830,Kane
80226,Aurier
80607,Eriksen
93264,Dier
95715,Lucas Moura
102884,Gazzaniga
157668,Winks
158534,Walker-Peters
168566,Nkoudou
173904,Sánchez
209042,Skipp
231372,Ndombele
21205,Heaton
37339,Ahmed El Mohamady
40564,Lansbury
47390,Taylor
54764,Kodjia
79852,Steer
85242,Hourihane
89274,Jota
108156,Engels
114283,Grealish
122806,McGinn
148508,Trézéguet
149484,Mings
169359,Targett
193488,El Ghazi
199798,Konsa Ngoyo
213345,Wesley
230046,Douglas Luiz
9089,Foster
18656,Heurelho Gomes
38439,Capoue
40868,Holebas
41338,Cathcart
41725,Deeney
43250,Cleverley
52940,Janmaat
54484,Kiko Femenía
60232,Dawson
61566,Pereyra
73426,Gray
85624,Kabasele
94924,Deulofeu
108413,Hughes
121599,Doucouré
157775,Sema
173514,Isaac Success
20529,Murray
40845,Stephens
50093,Button
60307,Groß
61933,Duffy
66242,Pröpper
74471,Mooy
78916,Burn
83299,Dunk
86153,Montoya
93284,Andone
106757,Locadia
109345,Solly March
110735,Webster
115382,Maupay
116216,Trossard
131897,Ryan
209362,Bernardo
18987,Snodgrass
20658,Zabaleta
37096,Fabianski
40669,Ogbonna
40694,Jiménez
42824,Carlos Sánchez
43020,Chicharito
54102,Wilshere
55459,Cresswell
57531,Antonio
81012,Fredericks
86934,Lanzini
101537,Felipe Anderson
103123,Haller
166640,Balbuena
204480,Rice
217593,Fornals
219924,Diop
20664,Silva
33148,Bravo
37572,Agüero
57410,Otamendi
58621,Walker
59859,Gündogan
61366,De Bruyne
97299,Stones
103025,Mahrez
103955,Sterling
121145,João Cancelo
121160,Ederson
146941,Laporte
165809,Bernardo Silva
205651,Gabriel Jesus
206325,Zinchenko
209244,Foden
220566,Rodrigo
18892,Young
42899,Romero
43670,Mata
51940,de Gea
62398,Matic
74208,Pogba
95658,Maguire
106760,Shaw
109322,Lingard
148225,Martial
156689,Andreas Pereira
176297,Rashford
180804,Tuanzebe
184667,Lindelöf
195851,McTominay
200617,James
214590,Wan-Bissaka
220688,Greenwood
20310,Caballero
41328,Azpilicueta
44346,Giroud
49579,Pedro
82263,Alonso
85955,Jorginho
88894,Barkley
91651,Kovacic
103192,Zouma
109533,Emerson
109745,Arrizabalaga
116594,Kanté
135363,Christensen
167767,Kenedy
173879,Abraham
176413,Pulisic
184341,Mount
194794,Tomori
50232,Shelvey
56983,Ritchie
57145,Federico Fernández
58845,Clark
59735,Darlow
67089,Dubravka
92159,Willems
101148,Lascelles
106618,Dummett
109528,Manquillo
111773,Krafth
119471,Schär
153127,Hayden
170137,Saint-Maximin
179018,Almirón
180135,Sean Longstaff
180974,Joelinton
196118,Muto
38411,Monreal
39476,Sokratis
41270,David Luiz
54694,Aubameyang
57249,Mkhitaryan
59966,Lacazette
80201,Leno
84450,Xhaka
98980,Martínez
101184,Chambers
154043,Maitland-Niles
182539,Dani Ceballos
195735,Pépé
198849,Torreira
200089,Joe Willock
200641,Nelson
242166,Guendouzi
444145,Gabriel Martinelli
111457,Kolasinac
103914,Taylor
221239,Davis
154131,Stacey
56377,Yarmolenko
105717,Masuaku
181008,Ajeti
47431,Willian
37402,Fuchs
153133,Iwobi
50175,Welbeck
216058,Quina
27789,Fernandinho
39194,Vertonghen
115556,Davies
200826,Lo Celso
18665,Tettey
179587,Srbeny
76542,Ki Sung-yueng
86417,Schlupp
40383,Forster
91047,Armstrong
135720,Danso
11948,Lonergan
39155,Lallana
145235,Angeliño
203368,Guilbert
10318,Stekelenburg
102747,Sidibé
200720,Kelleher
84384,Klose
94245,Batshuayi
90518,Morrison
86881,Mendy
172632,Gray
85971,Son Heung-Min
104953,Atsu
89085,Chalobah
232185,Sarr
18073,Noble
178876,Vallejo
81183,Vydra
37605,Özil
108823,Dele Alli
61603,Drinkwater
243568,Gilmour
18832,Stearman
178304,Mousset
40784,Sakho
41823,Delph
165210,Jahanbakhsh
233425,Connolly
155651,Masina
20452,Long
200088,N'Lundulu
58893,Rojo
222677,Chong
128348,Amadou
192303,Zimmermann
155408,Lewis Cook
184704,Nakamba
42748,Bong
213056,Baluta
227127,Bissouma
235382,Alzate
90517,Brady
223175,Matthew Longstaff
76359,Jones
101582,Fred
209041,Gomes
18499,McGovern
101061,Heise
432735,Idah
49413,Tomkins
173954,Riedewald
20145,Mariappa
96767,Foulquier
223340,Saka
214048,Kilman
