matchid,time,off_playerid,on_playerid,reason
match_1059702,39,116535,60706,Injury
match_1059702,74,152760,110979,Tactical
match_1059702,86,92217,15157,Tactical
match_1059702,58,71738,87396,Tactical
match_1059702,70,90440,89470,Tactical
match_1059702,83,57127,81048,Tactical
match_1059703,90,75115,154566,Tactical
match_1059703,63,27436,169432,Tactical
match_1059703,78,153723,49083,Tactical
match_1059703,82,40386,18867,Tactical
match_1059704,84,44699,44683,Tactical
match_1059704,84,433154,17349,Tactical
match_1059704,66,84939,220598,Tactical
match_1059704,73,88900,132015,Tactical
match_1059704,73,200439,128198,Tactical
match_1059705,65,80146,82403,Tactical
match_1059705,83,54861,59125,Tactical
match_1059705,45 +1,120250,160987,Injury
match_1059705,69,177815,242058,Tactical
match_1059705,79,55422,173807,Tactical
match_1059706,61,197469,201666,Tactical
match_1059706,76,168580,51938,Tactical
match_1059706,76,194634,209353,Tactical
match_1059706,81,171317,107613,Tactical
match_1059707,64,157668,80607,Tactical
match_1059707,88,62974,168566,Tactical
match_1059707,90 +2,231372,209042,Tactical
match_1059707,59,148508,89274,Tactical
match_1059707,74,213345,54764,Tactical
match_1059707,82,85242,230046,Tactical
match_1059708,45,94924,61566,Tactical
match_1059708,75,73426,173514,Tactical
match_1059708,64,106757,93284,Tactical
match_1059708,64,20529,115382,Tactical
match_1059708,90 +2,109345,209362,Tactical
match_1059709,45,57531,217593,Tactical
match_1059709,56,54102,18987,Tactical
match_1059709,66,101537,43020,Injury
match_1059709,69,205651,37572,Tactical
match_1059709,79,61366,59859,Tactical
match_1059709,80,20664,209244,Tactical
match_1059710,74,156689,200617,Tactical
match_1059710,86,176297,220688,Tactical
match_1059710,86,109322,43670,Tactical
match_1059710,58,88894,176413,Tactical
match_1059710,66,173879,44346,Tactical
match_1059710,73,85955,116594,Tactical
match_1059711,54,50232,92159,Tactical
match_1059711,67,180135,170137,Tactical
match_1059711,64,200089,182539,Tactical
match_1059711,71,200641,195735,Tactical
match_1059711,84,57249,444145,Tactical
match_1059712,45,200641,195735,Tactical
match_1059712,71,59966,111457,Tactical
match_1059712,83,182539,198849,Tactical
match_1059712,61,60689,44683,Tactical
match_1059712,72,60586,17349,Tactical
match_1059713,75,193488,89274,Tactical
match_1059713,87,148508,221239,Tactical
match_1059713,45,168991,15237,Tactical
match_1059713,76,153682,154566,Tactical
match_1059714,67,60307,115382,Tactical
match_1059714,74,20529,93284,Tactical
match_1059714,85,116216,74471,Tactical
match_1059714,45,54102,57531,Tactical
match_1059714,77,217593,56377,Tactical
match_1059714,83,43020,42824,Tactical
match_1059715,61,44346,173879,Tactical
match_1059715,71,85955,91651,Tactical
match_1059715,71,176413,47431,Tactical
match_1059715,73,197469,106837,Tactical
match_1059715,80,168580,51938,Tactical
match_1059716,63,212319,20467,Tactical
match_1059716,72,177815,242058,Tactical
match_1059716,73,101188,194164,Injury
match_1059716,67,108413,50175,Tactical
match_1059716,79,94924,43250,Tactical
match_1059716,83,38439,73426,Tactical
match_1059717,66,37572,205651,Tactical
match_1059717,78,220566,20664,Tactical
match_1059717,80,165809,103025,Tactical
match_1059717,56,157668,95715,Tactical
match_1059717,85,62974,200826,Tactical
match_1059717,90 +1,80607,209042,Tactical
match_1059718,84,71738,37614,Tactical
match_1059718,87,90440,18665,Tactical
match_1059718,90,194799,113564,Injury
match_1059718,67,180974,196118,Injury
match_1059718,74,76542,180135,Tactical
match_1059719,29,47247,49083,Injury
match_1059719,56,171975,169432,Injury
match_1059719,89,27436,7645,Tactical
match_1059719,65,141020,86417,Tactical
match_1059719,70,60252,50472,Tactical
match_1059719,82,50471,59125,Tactical
match_1059720,64,78056,84939,Tactical
match_1059720,68,200439,91047,Tactical
match_1059720,77,40146,431131,Tactical
match_1059720,74,15157,116643,Tactical
match_1059720,79,118748,152760,Tactical
match_1059720,89,81880,56979,Tactical
match_1059721,45,87835,159533,Injury
match_1059721,86,194634,247632,Tactical
match_1059721,90 +1,102057,209353,Tactical
match_1059721,81,109322,43670,Tactical
match_1059721,89,200617,220688,Tactical
match_1059721,89,176297,156689,Tactical
match_1059722,37,41320,153682,Injury
match_1059722,68,54469,103912,Tactical
match_1059722,69,75115,154566,Tactical
match_1059722,58,59859,220566,Tactical
match_1059722,79,165809,103025,Tactical
match_1059722,90,58621,121145,Tactical
match_1059723,77,89274,193488,Tactical
match_1059723,86,148508,37339,Tactical
match_1059723,61,55422,153133,Tactical
match_1059723,62,100649,242058,Tactical
match_1059723,78,212319,20467,Tactical
match_1059724,68,109345,106757,Tactical
match_1059724,74,115382,20529,Tactical
match_1059724,78,40845,60307,Tactical
match_1059724,53,213482,431131,Tactical
match_1059724,80,200439,128198,Tactical
match_1059724,84,84939,91047,Tactical
match_1059725,69,41733,15157,Tactical
match_1059725,77,110979,81880,Tactical
match_1059725,86,92217,39155,Tactical
match_1059725,61,182539,198849,Tactical
match_1059725,81,200089,59966,Tactical
match_1059725,86,242166,57249,Tactical
match_1059726,34,106760,18892,Injury
match_1059726,56,109322,220688,Tactical
match_1059726,85,195851,43670,Tactical
match_1059726,75,80146,54861,Tactical
match_1059726,80,86417,60252,Tactical
match_1059726,83,55037,50472,Tactical
match_1059727,81,87396,78607,Tactical
match_1059727,81,71738,179587,Tactical
match_1059727,81,90440,37614,Tactical
match_1059727,75,173879,44346,Tactical
match_1059727,84,176413,47431,Tactical
match_1059727,90 +1,184341,82263,Injury
match_1059728,54,27436,169432,Tactical
match_1059728,54,171975,18867,Tactical
match_1059728,78,40386,90518,Tactical
match_1059728,64,106837,201666,Tactical
match_1059728,78,168580,15033,Tactical
match_1059728,89,166989,86881,Tactical
match_1059729,62,62974,200826,Tactical
match_1059729,62,158534,80607,Injury
match_1059729,88,38290,115556,Tactical
match_1059729,17,170137,104953,Injury
match_1059729,82,101148,57145,Injury
match_1059729,88,180974,196118,Tactical
match_1059730,74,108413,232185,Tactical
match_1059730,74,94924,50175,Tactical
match_1059730,86,43250,216058,Tactical
match_1059730,55,56377,57531,Tactical
match_1059730,78,101537,217593,Tactical
match_1059730,88,86934,42824,Tactical
match_1059731,59,19624,151589,Tactical
match_1059731,67,222531,247632,Tactical
match_1059731,76,87835,159533,Tactical
match_1059731,66,60586,17349,Injury
match_1059731,78,44699,44683,Tactical
match_1059731,86,433154,83314,Tactical
match_1059732,63,198849,182539,Tactical
match_1059732,67,59966,57249,Injury
match_1059732,60,62974,108823,Tactical
match_1059732,79,85971,200826,Tactical
match_1059733,73,44699,44683,Tactical
match_1059733,71,56979,81880,Tactical
match_1059733,85,110979,152760,Tactical
match_1059733,85,92217,68312,Tactical
match_1059734,60,88894,47431,Tactical
match_1059734,83,91651,94245,Tactical
match_1059734,84,173879,243568,Tactical
match_1059734,63,169432,27436,Tactical
match_1059734,79,49083,178304,Tactical
match_1059734,84,40386,167878,Tactical
match_1059735,79,58786,40784,Injury
match_1059735,84,86417,60252,Tactical
match_1059735,86,80146,54861,Tactical
match_1059735,59,89274,221239,Tactical
match_1059735,71,230046,85242,Tactical
match_1059735,85,213345,40564,Tactical
match_1059736,76,242058,177815,Tactical
match_1059736,76,153133,100649,Tactical
match_1059736,59,107613,19624,Tactical
match_1059736,68,209353,194634,Tactical
match_1059736,84,171317,247632,Tactical
match_1059737,64,51938,172632,Tactical
match_1059737,71,201666,197469,Tactical
match_1059737,86,172780,37402,Tactical
match_1059737,64,54469,103912,Injury
match_1059737,64,153682,154566,Tactical
match_1059737,79,78007,15237,Tactical
match_1059738,37,146941,27789,Injury
match_1059738,69,61366,59859,Tactical
match_1059738,78,20664,165809,Tactical
match_1059738,66,115382,233425,Tactical
match_1059738,67,209362,20529,Tactical
match_1059738,74,116216,60307,Tactical
match_1059739,78,111773,109528,Tactical
match_1059739,82,104953,196118,Tactical
match_1059739,85,119471,57145,Tactical
match_1059739,71,121599,89085,Tactical
match_1059739,71,108413,173514,Tactical
match_1059739,82,73426,94924,Tactical
match_1059740,62,200439,20452,Tactical
match_1059740,71,128198,91047,Tactical
match_1059740,77,84939,80447,Tactical
match_1059740,68,156689,109322,Tactical
match_1059740,68,43670,62398,Tactical
match_1059740,82,195851,220688,Tactical
match_1059741,71,56377,18987,Tactical
match_1059741,85,18073,42824,Tactical
match_1059741,88,101537,217593,Tactical
match_1059741,36,192303,128348,Injury
match_1059741,77,71738,81048,Tactical
match_1059741,78,193111,78607,Tactical
match_1059742,57,153682,90105,Tactical
match_1059742,77,155408,152551,Tactical
match_1059742,90 +4,171129,223911,Tactical
match_1059742,71,177815,100649,Tactical
