idteam,name
14,Liverpool
45,Norwich
91,Bournemouth
49,Sheffield
90,Burnley
20,Southampton
31,Crystal Palace
11,Everton
13,Leicester
39,Wolverhampton
6,Tottenham
7,Aston Villa
57,Watford
36,Brighton
21,West Ham
43,Man. City
1,Man. United
8,Chelsea
4,Newcastle
3,Arsenal
2130,Dijon
152,Saint-Étienne
144,Marseille
1423,Reims
1395,Nice
1430,Amiens
153,Strasbourg
145,Metz
147,Montpellier
150,Rennes
2128,Angers
140,Bordeaux
429,Lille
430,Nantes
149,Paris
2336,Nîmes
862,Brest
427,Toulouse
146,Monaco
143,Lyon
693,Sochaux
1028,Caen
920,Le Mans
142,Lens
6783,Chambly
1996,Valenciennes
3308,Rodez
138,Auxerre
428,Guingamp
1272,Grenoble
1163,Ajaccio
141,Le Havre
1983,Clermont
921,Châteauroux
694,Lorient
2338,Paris
148,Nancy
6785,Orléans
1245,Niort
154,Troyes
173,Alavés
855,Levante
174,Bilbao
178,Barcelona
175,Atlético
1450,Getafe
185,Betis
192,Valladolid
176,Celta
186,Real Madrid
177,Espanyol
179,Sevilla
957,Leganés
450,Osasuna
181,Mallorca
953,Eibar
191,Valencia
188,Real Sociedad
449,Villarreal
5683,Granada
124,Cagliari
458,Brescia
125,Fiorentina
459,Napoli
126,Verona
123,Bologna
127,Inter
130,Lecce
131,Parma
128,Juventus
121,Roma
990,Genoa
603,Sampdoria
129,Lazio
1454,Spal
456,Atalanta
135,Torino
2182,Sassuolo
136,Udinese
120,Milan
3288,Dunkerque
5420,Pau
54,Fulham
2,Leeds
35,West Bromwich
954,Elche
1737,Cadix
2894,Huesca
2000,Benevento
744,Crotone
2036,Spezia
