playerid,player_name,team,start_date,end_date
4126,Buffon,Juventus,2019-08-24,2021-05-23
6744,Grant,Man. United,2019-11-24,2021-05-23
7485,Pegolo,Sassuolo,2019-08-25,2021-05-23
7645,Jagielka,Sheffield,2019-08-10,2021-05-23
8432,Pepe Reina,Milan,2019-08-31,2020-01-17
8432,Pepe Reina,Aston Villa,2020-01-18,2020-09-25
8432,Pepe Reina,Lazio,2020-09-26,2021-05-23
8522,Maggio,Benevento,2020-09-26,2021-01-22
8747,Balmont,Dijon,2019-08-17,2020-03-07
9089,Foster,Watford,2019-08-10,2020-07-26
9808,Ibrahimovic,Milan,2020-01-06,2021-05-09
10316,Joaquín,Betis,2019-08-18,2021-05-22
10318,Stekelenburg,Everton,2019-08-23,2020-07-26
10955,Camara,Montpellier,2019-08-10,2020-03-08
11129,David López,Espanyol,2019-09-22,2020-07-19
11382,Butelle,Angers,2019-08-10,2021-05-23
11948,Lonergan,Liverpool,2019-08-17,2021-01-15
11948,Lonergan,West Bromwich,2021-01-16,2021-01-16
11973,Benaglio,Monaco,2019-08-09,2019-10-05
12026,Terzi,Spezia,2020-09-30,2021-05-23
12269,Cavalli,Ajaccio,2019-07-26,2020-03-07
12473,Quagliarella,Sampdoria,2019-08-25,2021-05-22
12730,Mirante,Roma,2019-08-25,2021-05-15
12745,Baines,Everton,2019-10-19,2020-07-26
13395,Le Tallec,Orléans,2019-07-26,2019-08-09
14216,Berni,Inter,2019-08-26,2020-08-01
14404,Barreto,Sampdoria,2019-08-25,2020-03-08
14464,Aduriz,Bilbao,2019-08-16,2020-03-08
14715,Magnanelli,Sassuolo,2019-09-22,2021-05-09
14937,Cristiano Ronaldo,Juventus,2019-08-24,2021-05-23
15033,Morgan,Leicester,2019-08-11,2021-05-23
15061,Pandev,Genoa,2019-08-25,2021-05-22
15149,Francis,Bournemouth,2019-09-28,2020-02-29
15157,Milner,Liverpool,2019-08-09,2021-05-23
15237,Surman,Bournemouth,2019-08-10,2020-07-19
15749,Hart,Burnley,2019-08-10,2020-09-12
15749,Hart,Tottenham,2020-09-13,2021-05-23
15842,Gastaldello,Brescia,2019-08-25,2020-08-01
16021,Diego López,Espanyol,2019-08-18,2020-07-16
16261,Cuéllar,Leganés,2019-08-17,2020-07-19
16765,Matri,Sassuolo,2019-09-01,2019-09-14
16765,Matri,Brescia,2019-09-15,2020-01-12
16872,Moyá,Real Sociedad,2019-08-17,2021-05-22
17192,Rosati,Torino,2019-08-25,2021-02-04
17192,Rosati,Fiorentina,2021-02-05,2021-05-08
17260,Cifuentes,Cadix,2020-09-12,2020-10-04
17319,Felipe,Spal,2019-08-25,2020-08-02
17331,Gori,Benevento,2020-09-30,2020-10-04
17349,Lennon,Burnley,2019-08-10,2020-03-07
17423,Cordaz,Crotone,2020-09-20,2021-05-16
17601,Carson,Man. City,2019-11-10,2021-05-14
17740,Navas,Sevilla,2019-08-18,2021-05-23
17745,Schmeichel,Leicester,2019-08-11,2021-05-23
17761,Tarkowski,Burnley,2019-08-10,2021-05-23
17784,Pellè,Parma,2021-03-04,2021-05-22
17861,Ramos,Real Madrid,2019-08-17,2021-05-22
17878,Fàbregas,Monaco,2019-08-09,2021-05-23
17906,Ramis,Eibar,2019-08-17,2019-12-08
17926,Soldado,Granada,2019-08-17,2021-05-23
17985,Masiello,Atalanta,2019-08-25,2020-02-01
17985,Masiello,Genoa,2020-02-02,2021-05-22
17997,Bardsley,Burnley,2019-08-10,2021-05-10
18003,Albiol,Villarreal,2019-08-17,2021-05-22
18073,Noble,West Ham,2019-08-24,2021-05-23
18102,Chiellini,Juventus,2019-08-24,2021-05-23
18168,Pitroipa,Paris,2019-07-29,2020-12-05
18221,Piqué,Barcelona,2019-08-16,2021-05-22
18231,Pazzini,Verona,2019-08-25,2020-08-02
18362,Cigarini,Cagliari,2019-08-25,2020-09-19
18362,Cigarini,Crotone,2020-09-20,2021-05-22
18377,Padelli,Inter,2019-08-26,2021-05-23
18383,Handanovic,Inter,2019-08-26,2021-05-23
18440,Clarke,Sheffield,2019-09-28,2020-07-26
18498,Raúl García,Bilbao,2019-08-16,2021-05-16
18499,McGovern,Norwich,2019-09-14,2020-07-26
18500,Consigli,Sassuolo,2019-08-25,2021-05-23
18507,Diego Costa,Atlético,2019-09-01,2020-12-22
18574,Mangani,Angers,2019-08-10,2021-05-23
18656,Heurelho Gomes,Watford,2019-08-10,2020-07-26
18665,Tettey,Norwich,2019-08-17,2020-07-18
18726,Boruc,Bournemouth,2019-08-10,2020-07-26
18753,Ben Arfa,Valladolid,2020-02-08,2020-10-16
18753,Ben Arfa,Bordeaux,2020-10-17,2021-05-02
18832,Stearman,Sheffield,2019-08-31,2019-08-31
18867,Sharp,Sheffield,2019-08-10,2021-03-14
18892,Young,Man. United,2019-08-11,2020-01-25
18892,Young,Inter,2020-01-26,2021-05-23
18987,Snodgrass,West Ham,2019-08-10,2021-01-15
18987,Snodgrass,West Bromwich,2021-01-16,2021-04-03
19054,Messi,Barcelona,2019-09-21,2021-05-16
19188,Dann,Crystal Palace,2019-08-10,2021-05-16
19194,Martin,West Ham,2019-10-05,2021-04-17
19236,Ruddy,Wolverhampton,2019-08-11,2021-05-23
19419,Cahill,Crystal Palace,2019-08-10,2021-05-23
19484,Xisco Campos,Mallorca,2019-08-17,2020-07-19
19500,Ménez,Paris,2019-10-04,2020-03-02
19524,Santi Cazorla,Villarreal,2019-08-17,2020-07-19
19534,Javi García,Betis,2019-08-18,2020-07-19
19565,Alfonso,Brescia,2019-08-25,2020-08-01
19620,Miguel Veloso,Verona,2019-08-25,2021-05-23
19624,João Moutinho,Wolverhampton,2019-08-11,2021-05-23
19670,Perrin,Saint-Étienne,2019-08-10,2020-02-16
19731,Missiroli,Spal,2019-08-25,2020-08-02
19739,Kawashima,Strasbourg,2019-11-30,2021-05-23
19760,Llorente,Napoli,2019-09-14,2021-01-30
19760,Llorente,Udinese,2021-01-31,2021-05-23
19821,Criscito,Genoa,2019-08-25,2021-05-22
19838,Elliot,Newcastle,2019-12-14,2019-12-14
19891,Schöne,Genoa,2019-08-25,2020-09-20
19902,Farelli,Roma,2020-10-26,2021-05-23
19927,Benzema,Real Madrid,2019-08-17,2021-05-22
19936,Dessena,Brescia,2019-08-25,2020-08-01
20046,Okaka,Udinese,2019-09-21,2021-05-23
20066,Hennessey,Crystal Palace,2019-08-10,2021-05-16
20099,Ceravolo,Parma,2019-08-24,2019-08-24
20145,Mariappa,Watford,2019-09-15,2020-07-26
20150,Bergara,Getafe,2019-08-18,2019-08-31
20153,Palacio,Bologna,2019-08-25,2021-05-23
20310,Caballero,Chelsea,2019-08-11,2020-11-07
20360,Boateng,Fiorentina,2019-08-24,2020-01-12
20399,Barragán,Betis,2019-08-18,2020-10-17
20399,Barragán,Elche,2020-10-18,2021-05-22
20452,Long,Southampton,2019-08-31,2021-01-30
20467,Walcott,Everton,2019-08-10,2020-10-16
20467,Walcott,Southampton,2020-10-17,2021-05-23
20480,Krul,Norwich,2019-08-09,2020-07-26
20487,Mannone,Monaco,2020-09-13,2021-05-23
20529,Murray,Brighton,2019-08-10,2020-07-26
20658,Zabaleta,West Ham,2019-08-10,2020-03-07
20664,Silva,Man. City,2019-08-10,2020-09-19
20664,Silva,Real Sociedad,2020-09-20,2021-05-22
20690,Naldo,Monaco,2019-09-01,2019-11-09
21123,Behrami,Genoa,2020-01-05,2021-05-22
21125,De Silvestri,Torino,2019-08-25,2020-09-20
21125,De Silvestri,Bologna,2020-09-21,2021-05-23
21142,Rigoni,Parma,2019-09-01,2019-09-01
21155,Sirigu,Torino,2019-08-25,2021-05-23
21191,Bocchetti,Verona,2019-08-25,2020-09-19
21205,Heaton,Aston Villa,2019-08-10,2021-05-23
21207,Manfredini,Benevento,2020-09-26,2021-05-23
21232,Barillà,Parma,2019-08-24,2020-08-02
26758,Scaramozzino,Pau,2020-08-22,2021-05-01
26793,Skrtel,Atalanta,2019-08-25,2019-08-25
26894,Dante,Nice,2019-08-10,2020-11-01
26896,Bodmer,Amiens,2019-08-31,2020-01-15
27251,Proto,Lazio,2019-08-25,2020-08-01
27256,Bruno Alves,Parma,2019-08-24,2021-05-22
27300,Cristián Zapata,Genoa,2019-08-25,2021-05-22
27334,Debuchy,Saint-Étienne,2019-08-10,2021-05-16
27341,Cabaye,Saint-Étienne,2019-09-01,2020-03-01
27353,Radu,Lazio,2019-08-25,2021-05-23
27436,McGoldrick,Sheffield,2019-08-10,2021-05-23
27672,Diop,Eibar,2019-08-24,2021-05-22
27675,Briand,Bordeaux,2019-08-10,2021-05-23
27770,Bjarnason,Brescia,2020-01-19,2020-07-22
27789,Fernandinho,Man. City,2019-08-17,2021-05-23
27794,Valero,Inter,2019-08-26,2020-09-18
27794,Valero,Fiorentina,2020-09-19,2021-05-22
28082,Fährmann,Norwich,2019-08-09,2020-02-23
28136,Hilton,Montpellier,2019-08-10,2021-05-23
28277,Bonucci,Juventus,2019-08-24,2021-05-23
28388,Mancosu,Lecce,2019-08-26,2020-08-02
28411,Navas,Real Madrid,2019-08-17,2019-09-13
28411,Navas,Paris,2019-09-14,2021-05-23
28525,Garay,Valencia,2019-08-17,2020-02-01
28559,Ribéry,Fiorentina,2019-08-24,2021-05-22
28592,Floccari,Spal,2019-08-25,2020-07-19
28690,Pablo Hernández,Leeds,2020-09-12,2021-05-23
32259,Randolph,West Ham,2020-01-18,2021-05-23
32269,Dzemaili,Bologna,2019-08-25,2020-01-19
32281,Godín,Inter,2019-09-01,2020-09-25
32281,Godín,Cagliari,2020-09-26,2021-05-22
32286,Di Carmine,Verona,2019-09-15,2021-01-30
32286,Di Carmine,Crotone,2021-01-31,2021-05-13
32298,Manolo Reina,Mallorca,2019-08-17,2020-07-19
